term_id,term,definition
1,барщина,"повинность, состоявшая в обязанности крестьянина, имевшего собственный надел, работать на господском поле в течение определенного количества дней в неделю."
2,баскак,"монгольский чиновник, ведавший сбором дани и учетом населения на завоеванных территориях"
3,бортничество,"первоначально добывание меда диких пчел из естественных дупел, затем разведение пчел"
4,боярская дума,"высший совет знати при великом князе (во времена Киевской Руси и периода раздробленности), а с XVI в. при царе. Боярская дума была постоянным законосовещательным органом и принимала участие в решении вопросов внутренней и внешней политики государства."
5,бояре,"в Киевской и Владимиро-Суздальской Руси старшие княжеские дружинники, в Новгороде и Пскове – верхушка городского населения, потомки древней родоплеменной знати. В Московской Руси XV-XVII вв. – обладатели высшего чина, члены Боярской думы."
6,боярская республика,"тип государственного устройства, сложившийся в Новгороде и Пскове в период политической раздробленности. Предполагает широкое участие населения в делах управления посредством веча, однако реальная власть все равно находится в руках знати (которая занимает основные выборные должности, контролирует деятельность веча)."
7,варяги,"воины-дружинники из скандинавских народов, которых в Европе именовали викингами, норманнами. Варяги упоминаются в “Повести временных лет”. В IX-XI вв. у русских князей служило немало варяжских воинов-дружинников, которые выступали в качестве наемников."
8,вервь,"одно из названий общины у восточных и южных славян. На Руси первоначально складывалась на кровнородственной основе и постепенно превращалась в соседскую (территориальную) общину, связанную круговой порукой. В Русской правде вервь несла ответственность перед князем за убийство, совершённое на её территории, содержала (кормила) княжеских сборщиков штрафов."
9,вече,народное собрание в древней и средневековой Руси для обсуждения общих дел. Возникло из племенных собраний славян. Вече ведало вопросами войны и мира.
10,вира,"крупный штраф, присуждаемый по законам “Русской правды” за убийство свободного человека."
11,вотчина,"в России наследственное земельное владение феодала. Первые вотчины были княжескими, они появляются в Х в. К XI-XII вв. в документах упоминаются уже боярские и монастырские вотчины. Основную ценность в вотчинном хозяйстве представляла не столько земля, сколько жившие на ней зависимые крестьяне. Крестьяне не могли владеть землей, поэтому брали ее в пользование у своего феодала. За это они отрабатывали барщину и платили оброк."
12,глаголица,"одна из первых славянских азбук, по предположению, созданная славянским просветителем Кириллом. В отличие от кириллицы не получила широкого распространения."
13,двоеверие,сочетание в верованиях жителей Руси X-XIII вв. языческих и христианских представлений.
14,десятина,налог в пользу церкви.
15,дружина,"первоначально отряд воинов, который складывался вокруг военного вождя на этапе перехода от родового строя к государству. Дружина должна была защищать вождя, а он, в свою очередь, обеспечивал дружину всем необходимым. Главным источником богатства для дружинников являлись войны и захваченная в ходе них добыча. Постепенно дружина превращается в верхушку племени, сосредоточившей в своих руках богатство и власть. На Руси дружина появилась в IX в. Ее возглавлял князь. В те времена дружина состояла из двух частей: так называемая “старшая” дружина (наиболее близкие советники и помощники князя) и “младшая”, в которую входили недавно набранные воины."
16,дьяк,чиновник центрального аппарата в Российском государстве.
17,ересь,"религиозное учение, вступающее в противоречие с официальным вероучением."
18,закуп,"категория зависимого населения Древнерусского государства. Свободный человек брал у феодала ссуду, “купу” (скотом, деньгами, орудиями труда и т.д.) и обязан был отработать ее. Бежавший закуп делался обельным, т. е. полным холопом. Вернув ссуду, закуп освобождался от зависимости."
19,заповедные лета,"годы, в которые запрещался переход крестьян от одного владельца к другому (“заповедь” – запрет). Первоначально были введены Иваном IV в 1581 г. и планировались как временная мера. Однако потом неоднократно продлевались."
20,земский собор,"высший законосовещательный орган власти в России в XVI-XVII вв. Первый Земский собор созван в 1549 г. В дальнейшем соборы созывались вплоть до конца XVII в. по инициативе царя. В состав участников Земского собора входили представители всех основных сословий: бояре (в составе Боярской Думы), духовенство (“Освященный собор”), дворяне, горожане и даже черносошные крестьяне. Земские соборы собирались нерегулярно и для решения важнейших государственных дел (избрание нового царя, важнейшие реформы внутри страны, вопросы внешней политики). Время действия Земского собора связывают со временем существования сословно-представительной монархии в России."
21,земщина,"часть территории Русского государства, не включенная Иваном IV в свой личный удел – опричнину. В земщине сохранялись традиционные для того времени органы власти: Боярская дума, приказы, местное управление. Имелась также своя армия."
22,зернь,"узор из мельчайших золотых или серебряных зерен, которые напаивались на металлическую пластинку."
23,золотая орда,"монголо-татарское государство, основано в начале 40-х гг. XIII в. ханом Батыем. В состав Золотой Орды входили территории Западной Сибири, Северного Хорезма, Волжской Болгарии, Северного Кавказа, Крыма, восточная часть Казахстана. В вассальной зависимости от Золотой Орды находились русские княжества. Столицы: Сарай-Бату, с первой половины XIV в. – Сарай-Берке (Нижнее Поволжье). В XV в. распалась на Сибирское, Казанское, Крымское, Астраханское и др. ханства."
24,избранная рада,"круг приближенных царя Ивана IV Васильевича, фактически неофициальное правительство России в 50-х гг. XVI в. Активные члены Избранной рады: протопоп Сильвестр, А. Ф. Адашев, князь А. М. Курбский, И. М. Висковатый, митрополит Макарий. “Рада” – польский термин, происходит от немецкого rat – “совет”. Термин “рада” впервые употреблен А. М. Курбским, писавшим свое сочинение в Литве, куда он бежал в 1564 г."
25,иосифляне,"идейное направление в среде русского духовенства XV-XVI вв., последователи игумена Иосифа Волоцкого, сторонники сохранения церковно-монастырского землевладения и расправы с еретиками."
26,кириллица,"славянская азбука, созданная на основе византийского унициата (уставного алфавита), по предположению, учеником славянского просветителя Мефодия Климентием. Названа “кириллицей” в знак глубокого признания народа деятельности первых славянских просветителей Кирилла и Мефодия."
27,князь,"глава государства или удела в IX-XVI вв. у славян и других народов, позднее – дворянский титул. До образования государства князьями были племенные вожди, которые затем постепенно превратились в главы государств. Сначала власть князя была выборной, затем стала наследственной. Например, династия Рюриковичей в Древнерусском государстве. В период политической раздробленности особыми функциями князья обладали в Новгороде и Пскове, являясь лишь наемными военачальниками, обязанными поддерживать порядок внутри страны и охранять ее границы."
28,кормление,"вид княжеского пожалования своим должностным лицам, при котором местная администрация содержалась за счет взимания с населения в свою пользу различных “кормов” (хлебом, мясом, сыром, сеном и т.п.) и судебных пошлин (присудов). Кормление давалось в награду за прежнюю, чаще всего военную, службу. Административные обязанности при этом являлись лишь дополнением к возможности кормиться. Жалованья за административную и судебную деятельность кормленщики не получали. Система кормлений ликвидирована в 1556 г."
29,Крестово-купольный храм,"тип христианского храма, возникший в средневековой архитектуре Византии. Купол или барабан опирается на 4 столба в центре здания, расчленяющие внутреннее пространство храм."
30,крестовальная запись,"документ о принятии присяги, сопровождавшийся целованием креста."
31,крещение,"введение в Киевской Руси христианства как государственной религии, осуществлённое в конце X века (988 г.) князем Владимиром Святославичем."
32,летопись,"записи событий русской истории, расположенные по годам."
33,местничество,система назначения членов Государева двора на служебные посты на основе служебного положения предков и ближайших родственников.
34,митрополит,глава русской православной церкви до учреждения патриаршества в 1589 г.
35,мозаика,"изображение или узор, выполненные из цветных камней, керамических плиток, смальты (цветного непрозрачного стекла)."
36,наместник,"на Руси X-XVI вв. должностное лицо, возглавлявшее местное управление. Назначался князем. В XIV-XV вв. получал кормление. Должность наместника упразднена с отменой кормлений в 1555-1556 г."
37,настяжатели,"последователи идейного направления в среде русского духовенства XV-XVI вв., выступавшего за отказ Церкви от владения селами и эксплуатации труда крестьян. Наиболее известный лидер этого направления – старец Нил Сорский."
38,норманнская теория,"направление в российской и зарубежной историографии, сторонники которого считали норманнов (варягов) основателями государства в Древней Руси. Сформулирована во второй четверти XVIII в. Г. З. Байером, Г. Ф. Миллером и др. Норманнскую теорию отвергали М. В. Ломоносов, Д. И. Иловайский, С. А. Гедеонов и др."
39,оброк натуральный,"повинность, заключавшаяся в обязанности крестьянина вносить в пользу владельца земли определенное количество продуктов, произведенных в собственном хозяйстве."
40,оброк денежный,"повинность, заключавшаяся в обязанности крестьянина уплачивать владельцу земли определенную сумму деньгами."
41,огнищанин,"главный слуга, управитель хозяйства вотчины."
42,опричнина,"удел, выделяемый вдове великого князя, помимо (“опричь”) всех прочих уделов. В 1565-1572 гг. – особый царский удел Ивана IV Грозного с особым опричным судом, войском, государственным аппаратом. Также название системы внутриполитических мероприятий, осуществленных в этот же период."
43,перегородчатая эмаль,техника изготовления ювелирных украшений на основе заполнения цветной эмалью ячеек между перегородками из скани.
44,повоз,"система сбора дани, которую ввела княгиня Ольга, вместо полюдья, установив ее фиксированный размер (уроки) и место сбора (погосты)."
45,погост,"по налоговой реформе княгини Ольги место сбора дани, куда ее свозило население и где располагался двор княжеского чиновника (тиуна), следившего за своевременным и правильным поступлением налогов в казну."
46,пожилое,"установленная законами плата крестьянина владельцу земли за право уйти на другие земли, к другому владельцу."
47,политическая раздробленность,"этап в истории средневековых европейских государств, когда они были разделены на феодальные владения и собственник каждого из них сам издавал законы, судил, собирал налоги, содержал свою армию, а центральный правитель не имел реальной власти."
48,полюдье,в Киевской Руси объезд князем и дружиной подвластных земель для сбора дани.
49,поместье,"вид феодального землевладения в России. Впервые поместья появляются в XIV в. как земельные владения, предоставляемые за несение военной службы без права передачи земли по наследству (так называемое условное землевладение). На протяжении XVI-XVII вв. наблюдается процесс сближения поместья с вотчиной. В начале XVIII в. этот процесс завершится слиянием поместья и вотчины. Владельцы поместий называются помещиками."
50,посад,название торгово-ремесленной части города на Руси.
51,посадник,в эпоху существования Древнерусского государства наместник князя. Позднее этот термин стал обозначать высшую государственную должность в Новгороде и Пскове (до конца XV – начала XVI в.). Посадники избирались на вече из представителей наиболее знатных и богатых боярских родов.
52,православие,"восточная ветвь христианства, представленная несколькими церквами, которыми руководят патриархи и церковные соборы."
53,приказ,"орган центрального управления в России XVI – начале XVIII вв. Изначально приказом называлось особое поручение, дававшееся царем тому или иному боярину, позднее – штат чиновников (дьяков), помогавших боярину исполнять свою роль и, наконец, орган центрального управления. В обиход термин “приказ” вошел в середине XVI в. В формировании приказной системы значительную роль сыграли преобразования Избранной Рады. Ликвидирована приказная система была в начале XVIII в., в процессе петровских реформ."
54,путь из “варяг в греки”,водный (морской и речной) путь из Скандинавии через Восточную Европу в Византию в Средние века. Один из водных путей экспансии варягов из района проживания (побережье Балтийского моря) на Юг – в Юго-Восточную Европу и Малую Азию в VIII-XIII веках н. э. Этим же путём пользовались русские купцы для торговли с Константинополем и со Скандинавией.
55,раннефеодальное государство,"этим термином историки характеризуют Древнерусское государство IX-X вв. В этот период еще окончательно не сложилась территория государства, не было оформившейся системы управления. Сохранялась племенная обособленность входивших в состав государства территорий."
56,родовая община,"одна из первых форм общественной организации людей. На ранних этапах своей истории отдельный человек был не в силах противостоять природе, добыть минимум, необходимый для жизни. Это привело к объединению людей в общины. Для родовой общины был характерен коллективный труд и уравнительное потребление. Внутри общины существовало лишь поло-возрастное разделение труда."
57,рядович,"категория зависимого населения Древнерусского государства. Заключали с феодалом договор (ряд), который ставил их в определенную зависимость от феодала."
58,семибоярщина,"боярское правительство в его состав входили (семь человек: Федор Мстиславский, Иван Воротынский, Василий Голицын, Иван Романов, Федор Шереметев, Андрей Трубецкой и Борис Лыков), взявшее власть в Москве после свержения с престола Василия Шуйского в 1610 г. Номинально оставалось у власти до 1612 г. Фактически передало власть польскому гетману С. Жолкевскому, с которым заключило соглашение о призвании на российский трон королевича Владислава, сына польского короля Сигизмунда III."
59,скань,"изделие из золотой или серебряной проволоки, которая напаивалась на металлическую основу."
60,слобода,"в России в XII – первой половине XVI вв. отдельные поселения или группа поселений, в том числе около города-крепости, население которых временно освобождалось от государственных повинностей (отсюда название “слобода” – свобода). В XVI в. сформировались слободы служилых людей (стрельцы, пушкари и т. п.), ямщиков и казённых ремесленников, а также иностранцев (Иноземные слободы). В первой половине XVIII в. превратились в обычные сёла или поселения городского типа. В XIX-XX вв. название “слобода” получали иногда пригородные промышленные посёлки."
